Country,CarbonMapSource,ConcessionType,TreeCoverPct,TotalCarbon_MgC,TotalCarbon_TgC,TotalCarbon_PgC,AvoidedTotalEmissions_MtCO2e,AvoidedTotalEmissions_MMtCO2e
Malaysia,WHRC,Pulp & Paper,≥ 50%,105052118.4,105.05,0.11,385191100.90,385.19
Malaysia,WHRC,Rubber,≥ 20%,0.0,0.00,0.00,0.00,0.00
Malaysia,WHRC,Rubber,≥ 30%,0.0,0.00,0.00,0.00,0.00
Malaysia,WHRC,Rubber,≥ 40%,0.0,0.00,0.00,0.00,0.00
Malaysia,WHRC,Rubber,≥ 50%,0.0,0.00,0.00,0.00,0.00
Malaysia,WHRC,Mixed,≥ 20%,415238764.1,415.24,0.42,1522542134.94,1522.54
Malaysia,WHRC,Mixed,≥ 30%,414445200.5,414.45,0.41,1519632401.85,1519.63
Malaysia,WHRC,Mixed,≥ 40%,413574667.9,413.57,0.41,1516440448.80,1516.44
Malaysia,WHRC,Mixed,≥ 50%,411810860.4,411.81,0.41,1509973154.75,1509.97
Myanmar,ORNL,All,≥ 20%,10518454.68,10.52,0.01,38567667.15,38.57
Myanmar,ORNL,All,≥ 30%,10500742.09,10.50,0.01,38502721.00,38.50
Myanmar,ORNL,All,≥ 40%,10485562.86,10.49,0.01,38447063.82,38.45
Myanmar,ORNL,All,≥ 50%,10437190.72,10.44,0.01,38269699.32,38.27
Myanmar,ORNL,Logging/Timber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Logging/Timber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Logging/Timber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Logging/Timber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Oil Palm,≥ 20%,10518454.68,10.52,0.01,38567667.15,38.57
Myanmar,ORNL,Oil Palm,≥ 30%,10500742.09,10.50,0.01,38502721.00,38.50
Myanmar,ORNL,Oil Palm,≥ 40%,10485562.86,10.49,0.01,38447063.82,38.45
Myanmar,ORNL,Oil Palm,≥ 50%,10437190.72,10.44,0.01,38269699.32,38.27
Myanmar,ORNL,Pulp & Paper,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Pulp & Paper,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Pulp & Paper,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Pulp & Paper,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Rubber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Rubber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Rubber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Rubber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Mixed,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Mixed,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Mixed,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Mixed,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,All,≥ 20%,15820375.56,15.82,0.02,58008043.72,58.01
Myanmar,WCMC,All,≥ 30%,15793571.28,15.79,0.02,57909761.35,57.91
Myanmar,WCMC,All,≥ 40%,15770382.59,15.77,0.02,57824736.18,57.82
Myanmar,WCMC,All,≥ 50%,15697213.64,15.70,0.02,57556450.00,57.56
Myanmar,WCMC,Logging/Timber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Logging/Timber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Logging/Timber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Logging/Timber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Oil Palm,≥ 20%,15820375.56,15.82,0.02,58008043.72,58.01
Myanmar,WCMC,Oil Palm,≥ 30%,15793571.28,15.79,0.02,57909761.35,57.91
